VideoCard,AvgOPS-Sec
Radeon R9 390X,"3,664"
Radeon RX 580,"3,624"
Quadro P3200,"3,607"
Radeon PRO W6400,"3,575"
Radeon RX 480,"3,567"
Radeon Pro 5300,"3,561"
GeForce GTX 1070 with Max-Q Design,"3,560"
Tesla M60,"3,522"
GeForce GTX Titan,"3,501"
GeForce RTX 2060 with Max-Q Design,"3,491"
GeForce RTX 2050,"3,443"
Radeon R9 290X,"3,443"
Tesla M60,"3,428"
GeForce GTX TITAN Z,"3,419"
Quadro M5000M,"3,397"
Radeon R9 390,"3,393"
GeForce GTX TITAN Z,"3,381"
GeForce GTX 1050 Ti with Max-Q Design,"3,374"
Quadro K6000,"3,373"
Radeon Pro 5500M,"3,371"
Radeon RX Vega M GH,"3,356"
GeForce GTX 1050 Ti (Mobile),"3,343"
Ryzen 9 6900HS with Radeon Graphics,"3,343"
GeForce GTX 780,"3,335"
Tesla P4,"3,327"
Radeon Ryzen 9 6900HS,"3,319"
Radeon R9 290X / 390X,"3,300"
Q12U-1,"3,274"
Quadro T1000,"3,274"
Quadro P3000,"3,268"
AMD Ryzen Z1 Extreme,"3,260"
Radeon RX 6550M,"3,255"
Radeon 760M,"3,254"
Radeon RX590 GME,"3,239"
Ryzen 9 PRO 6950H,"3,233"
Radeon RX 5600M,"3,226"
Radeon Pro WX 7100,"3,217"
Ryzen 7 7735HS with Radeon Graphics,"3,212"
Radeon R9 295X2,"3,208"
Ryzen 9 4900HS with Radeon Graphics,"3,183"
GeForce RTX 3050 4GB Laptop GPU,"3,170"
Radeon HD 7970 / R9 280X,"3,168"
Radeon R9 290,"3,163"
Radeon R9 290 / 390,"3,137"
Radeon Ryzen 7 6800HS Creator Edition,"3,130"
Radeon Pro Duo,"3,118"
GeForce GTX 1050 with Max-Q Design,"3,097"
T1200 Laptop GPU,"3,095"
FirePro W9100,"3,093"
GeForce GTX 1060 (Mobile),"3,085"
GeForce GTX 1650,"3,082"
GeForce GTX 1660 Ti with Max-Q Design,"3,059"
Radeon Ryzen 7 PRO 6850H,"3,057"
Quadro P2000 with Max-Q Design,"3,054"
Radeon PRO Ryzen 7 PRO 6850U,"3,052"
RTX A500 Laptop GPU,"3,047"
Radeon RX 470/570,"3,045"
Ryzen 7 6800HS Creator Edition,"3,036"
Radeon Ryzen 7 6800HS,"3,033"
Ryzen 7 6800H,"3,026"
T1000,"3,015"
Radeon Pro 570,"3,012"
Radeon RX 6500M,"3,010"
Radeon Ryzen 7 6800H,"3,002"
T1000 8GB,"2,966"
Radeon RX 6400,"2,958"
GeForce GTX 760 Ti OEM,"2,943"
Ryzen 9 6900HX with Radeon Graphics,"2,941"
Radeon HD 7990,"2,939"
Intel Arc A530M,"2,930"
Quadro P2000,"2,923"
GeForce GTX 1060 with Max-Q Design,"2,897"
Ryzen 7 PRO 6850U,"2,895"
Radeon Ryzen 7 7735HS,"2,876"
Quadro T2000,"2,875"
Intel Arc,"2,865"
Radeon HD 8990,"2,836"
GeForce GTX 970M,"2,827"
Radeon Pro 5300M,"2,817"
GeForce GTX 960,"2,810"
GeForce GTX 1050 (Mobile),"2,800"
EIZO Quadro MED-XN51LP,"2,799"
Intel Arc A380,"2,799"
GeForce GTX 980M,"2,798"
Radeon R9 280X,"2,794"
Ryzen 7 6800U,"2,783"
GeForce GTX 1650 (Mobile),"2,767"
GeForce GTX 770,"2,767"
Radeon R5 330,"2,760"
Ryzen 7 6800H with Radeon Graphics,"2,735"
Radeon RX 580 2048SP,"2,731"
Radeon HD 7950 / R9 280,"2,725"
Radeon Ryzen 7 PRO 6850HS,"2,722"
GeForce GTX 1650 Ti,"2,719"
Quadro M5000M,"2,712"
Quadro P3000,"2,710"
Radeon Ryzen 9 7950X 16-Core,"2,705"
Radeon RX 6500,"2,690"
Quadro M4000,"2,679"
Quadro RTX 3000 with Max-Q Design,"2,675"
T600 Laptop GPU,"2,675"
Barco MXRT 7600,"2,673"
Radeon RX Vega M GL,"2,665"
Quadro T2000 with Max-Q Design,"2,664"
Radeon RX 560X,"2,660"
Ryzen 7 PRO 6850U with Radeon Graphics,"2,653"
GeForce GTX 1050 Ti,"2,644"
Radeon TM,"2,629"
GeForce GTX 680,"2,627"
GeForce MX570 A,"2,623"
Radeon Ryzen 7 PRO 6850U,"2,619"
GeForce MX570,"2,608"
Radeon Ryzen 7 7735H,"2,604"
FirePro W7100,"2,600"
Radeon R9 M395X,"2,599"
Radeon R9 270X,"2,593"
Quadro K5200,"2,591"
FirePro W8100,"2,588"
Ryzen 7 7735U with Radeon Graphics,"2,586"
Quadro T1000 with Max-Q Design,"2,577"
Radeon Pro 465,"2,568"
Ryzen 9 5900HS with Radeon Graphics,"2,560"
Radeon Pro Vega 16,"2,548"
Ryzen 7 PRO 6860Z with Radeon Graphics,"2,544"
GeForce GTX 690,"2,524"
FirePro S9000,"2,517"
GRID M60-8A,"2,508"
Quadro T1000,"2,508"
Radeon R9 280,"2,505"
Radeon HD 7870 XT,"2,502"
Quadro P1000,"2,490"
Radeon R9 M390X,"2,483"
Ryzen 7 6800U with Radeon Graphics,"2,480"
T600,"2,472"
GeForce GTX 1050 3GB,"2,466"
Barco MXRT 7500,"2,450"
Radeon R9 285 / 380,"2,447"
GeForce GTX 760,"2,431"
Radeon R9 380X,"2,411"
GRID P6-4Q,"2,408"
GeForce GTX 880M,"2,406"
GRID K2,"2,400"
GeForce GTX 670,"2,391"
GeForce GTX 690,"2,391"
FirePro W7170M,"2,388"
GeForce GTX 680M KY_Bullet Edition,"2,381"
Radeon Pro WX 4150,"2,375"
GeForce GTX 1650 Ti with Max-Q Design,"2,363"
Quadro M4000M,"2,361"
FirePro M6100 FireGL V,"2,355"
Radeon Pro WX 7130,"2,344"
GeForce GTX 760 Ti,"2,343"
GeForce GTX 970M,"2,333"
Radeon R9 M290X,"2,327"
Radeon Ryzen 9 PRO 6950HS,"2,322"
Radeon R9 M470X,"2,314"
Radeon RX Vega M GH,"2,314"
Quadro M2200,"2,311"
Radeon Ryzen 7 7735U,"2,297"
Radeon Eng Sample: 100-000000560-40_Y,"2,291"
GeForce GTX 660 Ti,"2,288"
GeForce GTX 1650 with Max-Q Design,"2,286"
Radeon R9 380,"2,284"
GeForce GTX 950,"2,263"
T550 Laptop GPU,"2,247"
Quadro P2000 with Max-Q Design,"2,232"
Radeon RX 5500M,"2,232"
Radeon R9 270 / R7 370,"2,228"
Intel Arc A310,"2,226"
FirePro S7000,"2,224"
GeForce MX550,"2,224"
Radeon Ryzen 5 7535HS,"2,221"
Radeon R9 270X,"2,217"
Radeon PRO W6300,"2,207"
Radeon R9 370,"2,206"
Radeon RX 6300,"2,190"
Radeon Sky 500,"2,189"
GeForce GTX 1050 Ti with Max-Q Design,"2,184"
Radeon Ryzen 5 6600H,"2,182"
Radeon Pro Vega 20,"2,175"
GeForce GTX 1050 Ti (Mobile),"2,172"
Radeon Pro WX 5100,"2,171"
GeForce GTX 760,"2,165"
FirePro W8000,"2,160"
FirePro W9000,"2,153"
Radeon Ryzen 5 6600HS Creator Edition,"2,140"
GeForce GTX 965M,"2,131"
GeForce GTX 870M,"2,124"
Quadro M3000M,"2,124"
Radeon HD 7870,"2,105"
GeForce GTX 1630,"2,104"
Radeon Ryzen 7 Pro 7735U,"2,104"
GeForce GTX 1050,"2,091"
Radeon Instinct MI25 MxGPU,"2,082"
Quadro K5100M,"2,072"
FirePro W7000 Adapter,"2,069"
Radeon R9 M295X,"2,057"
Radeon Ryzen 9 7900X 12-Core,"2,050"
P106-100,"2,048"
GeForce GTX 480,"2,046"
Radeon Ryzen 7 6800U,"2,044"
Radeon HD8970M,"2,032"
GeForce GTX 960A,"2,014"
Radeon RX Vega 11 PRD,"2,013"
Radeon R7 370,"1,992"
Radeon Pro WX 3100,"1,978"
Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,"1,974"
GeForce GTX 680MX,"1,970"
GRID K520,"1,940"
FirePro W7000,"1,938"
GeForce GTX 580,"1,897"
Radeon HD 8970M,"1,892"
FirePro V7000,"1,889"
GeForce MX450,"1,887"
Quadro P1000,"1,878"
T500,"1,878"
GeForce GTX 675MX,"1,876"
FirePro W7100,"1,859"
Quadro P600,"1,857"
Radeon Pro 560X,"1,851"
Quadro M2000M,"1,841"
Quadro M2200,"1,840"
Quadro M2000,"1,834"
Radeon Pro WX 4130,"1,825"
Radeon 740M,"1,824"
GeForce GTX 660,"1,820"
GeForce GTX 1050 (Mobile),"1,816"
Radeon Pro 460,"1,816"
Radeon HD 8950,"1,810"
Ryzen 5 6600HS Creator Edition,"1,809"
Quadro K4200,"1,796"
Radeon HD 7800-serie,"1,795"
GRID T4-8Q,"1,784"
GeForce GTX 680M,"1,782"
GeForce GTX 780M,"1,782"
Radeon Pro 560,"1,776"
Radeon R9 270,"1,776"
GeForce GTX 750 Ti,"1,760"
Radeon R9 M395,"1,752"
Ryzen 5 PRO 6650U with Radeon Graphics,"1,740"
Radeon RX 5300M,"1,735"
Quadro K5000,"1,734"
Radeon Eng Sample: 100-000000561-40_Y,"1,734"
Radeon Ryzen 5 PRO 6650U,"1,733"
Intel Graphics,"1,732"
Radeon R9 260,"1,727"
Ryzen 5 PRO 6650U,"1,726"
Ryzen 9 5900HX with Radeon Graphics,"1,714"
Radeon E8870PCIe,"1,708"
Quadro M1200,"1,703"
Radeon RX 460,"1,694"
Matrox C680 PCIe x16,"1,693"
Radeon HD 7850,"1,682"
GRID K220Q,"1,677"
Ryzen 7 5700G with Radeon Graphics,"1,674"
Snapdragon X Plus - X1P64100 - Qualcomm Adreno GPU,"1,657"
FirePro M5100,"1,643"
Ryzen 7 5700GE with Radeon Graphics,"1,641"
Snapdragon X Elite - X1E80100 - Qualcomm Adreno GP,"1,640"
Radeon Ryzen 7 4700G,"1,636"
Radeon Ryzen 7 4800H,"1,633"
Ryzen 7 Pro 4750G with Radeon Graphics,"1,629"
Ryzen 7 5800H with Radeon Graphics,"1,626"
Radeon Ryzen 5 6600U,"1,625"
GeForce GTX 775M,"1,624"
FirePro V9800,"1,618"
GeForce GTX 880M,"1,613"
Radeon Ryzen 7 PRO 4750G,"1,604"
GeForce GTX 870M,"1,600"
Snapdragon X Elite - X1E78100 - Qualcomm Adreno GP,"1,597"
GeForce GTX 965M,"1,596"
Quadro K2200,"1,589"
Quadro K5100M,"1,587"
GeForce GTX 1050 with Max-Q Design,"1,585"
Radeon HD 7970M,"1,585"
Radeon Ryzen 7 4700GE,"1,585"
Ryzen 7 PRO 5750G with Radeon Graphics,"1,576"
GeForce GTX 750,"1,575"
Quadro K4100M,"1,575"
Radeon R9 M375X,"1,575"
Ryzen 7 PRO 5750GE with Radeon Graphics,"1,573"
Radeon HD 7790,"1,571"
Radeon Ryzen 7 5800H,"1,570"
Quadro P620,"1,569"
P104-100,"1,561"
GeForce GTX 650 Ti BOOST,"1,556"
Radeon Pro WX 2100,"1,554"
Quadro M1000M,"1,544"
MxGPU,"1,541"
Radeon Pro WX 4100,"1,541"
Quadro 7000,"1,537"
Ryzen 7 PRO 7730U with Radeon Graphics,"1,537"
GeForce GTX 580,"1,530"
T400,"1,530"
T400 4GB,"1,527"
Ryzen 7 5800HS with Radeon Graphics,"1,525"
GeForce GTX 860M,"1,520"
Radeon Ryzen 7 4800HS,"1,518"
Ryzen 7 4700G with Radeon Graphics,"1,500"
Firepro W5170M,"1,495"
Radeon Ryzen 5 7535U,"1,493"
Ryzen 5 5600GE with Radeon Graphics,"1,491"
Ryzen 7 PRO 4750GE with Radeon Graphics,"1,488"
Quadro M2000M,"1,481"
Radeon Ryzen 7 PRO 4750GE,"1,479"
GeForce GTX 680M,"1,478"
Radeon RX 560,"1,477"
Ryzen 5 5600G with Radeon Graphics,"1,477"
Radeon Ryzen 7 5800HS,"1,476"
Intel Iris Pro P580,"1,475"
B8DKMDAP,"1,472"
GeForce 8800 GTX,"1,471"
Quadro K2200M,"1,466"
Ryzen 5 PRO 5650G with Radeon Graphics,"1,462"
GeForce GTX 750,"1,454"
Radeon R7 260X,"1,447"
Ryzen 5 PRO 5650GE with Radeon Graphics,"1,438"
Tesla C2070,"1,437"
GeForce GTX 960M,"1,436"
Ryzen 7 5825U with Radeon Graphics,"1,430"
Radeon Ryzen 5 5500GT,"1,429"
FirePro 3D V8800,"1,427"
Radeon Pro 455,"1,418"
GeForce GTX 570,"1,412"
Ryzen 7 7730U with Radeon Graphics,"1,406"
Quadro K5000M,"1,404"
NVIDIA A10-4Q,"1,399"
GeForce 8800 GTS 512,"1,398"
Radeon Ryzen 5 PRO 5650G,"1,398"
Quadro P600,"1,393"
Radeon RX Vega 11 Ryzen 5 3400G,"1,393"
Radeon RX Vega 11,"1,386"
Ryzen 5 Pro 4650G with Radeon Graphics,"1,386"
Ryzen 7 5800U with Radeon Graphics,"1,386"
Radeon Ryzen 5 5600GT,"1,385"
GeForce GTX 590,"1,384"
Radeon Pro 555,"1,383"
Radeon Ryzen 9 4900H,"1,376"
FirePro 3D V9800,"1,375"
Radeon Eng Sample: 100-000000285-40_Y,"1,373"
Radeon Ryzen 7 5825U,"1,373"
Tesla C2050,"1,373"
Ryzen 5 4600G with Radeon Graphics,"1,371"
Radeon R9 M275X / M375,"1,370"
Quadro M1200,"1,366"
Radeon Ryzen 5 PRO 5650GE,"1,365"
Radeon Ryzen 7 PRO 7730U,"1,364"
Radeon R7 260,"1,361"
Radeon Ryzen 7 5800U,"1,358"
GRID P40-24Q,"1,354"
Intel Iris Xe,"1,353"
Tesla C2050 / C2070,"1,351"
Intel Iris Xe MAX,"1,348"
GeForce GTX 960M,"1,345"
Radeon Ryzen 7 7730U,"1,345"
Radeon R9 M290X,"1,340"
Radeon Vega 11 Ryzen 5 PRO 3350G,"1,338"
Ryzen 7 PRO 5850U with Radeon Graphics,"1,330"
Radeon R9 360,"1,329"
Radeon Ryzen 5 5600H,"1,329"
Tesla C2075,"1,327"
GeForce GTX 650 Ti,"1,324"
Radeon Ryzen 5 PRO 4655G,"1,324"
FirePro W5000,"1,321"
Radeon RX Vega 11 Ryzen 5 3350G,"1,317"
Radeon Ryzen 9 7900 12-Core,"1,311"
NVS 810,"1,304"
Matrox C900 PCIe x16,"1,302"
GeForce GTX 850M,"1,301"
Radeon Ryzen 5 Pro 7535U,"1,299"
Radeon HD 7700-serie,"1,296"
Radeon R7 360,"1,296"
Ryzen 5 PRO 4650GE with Radeon Graphics,"1,296"
GRID K2,"1,293"
Radeon Ryzen 5 5600GE,"1,289"
GeForce GTX 950M,"1,288"
Radeon RX Vega M GL,"1,284"
Ryzen 7 PRO 5875U with Radeon Graphics,"1,283"
Ryzen 7 5700U with Radeon Graphics,"1,281"
Radeon Ryzen 5 PRO 4655GE,"1,280"
Ryzen 5 7530U with Radeon Graphics,"1,280"
GeForce GT 645,"1,273"
Radeon Vega 11 Ryzen 5 PRO 3400G,"1,272"
GeForce GTX 950A,"1,271"
Ryzen 7 4800U with Radeon Graphics,"1,267"
GeForce GTX 860M,"1,262"
Radeon Ryzen 7 4800U,"1,260"
Radeon Ryzen 7 5700U,"1,258"
FirePro W5100,"1,256"
GeForce GT 1030,"1,256"
Radeon R9 M380,"1,256"
Radeon HD 6990,"1,255"
Radeon Ryzen 5 7530U,"1,252"
Ryzen 7 Extreme Edition,"1,250"
Intel Coffee Lake UHD,"1,247"
GeForce MX150,"1,246"
GeForce GTX 770M,"1,245"
Ryzen 5 5600H with Radeon Graphics,"1,245"
GeForce MX350,"1,244"
Ryzen 3 PRO 5350G with Radeon Graphics,"1,244"
GeForce GTX 560 Ti,"1,243"
Radeon Ryzen 7 Microsoft Surface Edition,"1,238"
Quadro K4100M,"1,235"
Radeon RX Vega 11 Processor,"1,235"
Radeon RX Vega 11 Ryzen 5 3400GE,"1,233"
Radeon HD 5970,"1,231"
Radeon Pro,"1,224"
Quadro K1200,"1,216"
Radeon Pro 450,"1,212"
Radeon Vega 11,"1,211"
Quadro K5000M,"1,206"
Quadro K3100M,"1,204"
Radeon TM R9 A360,"1,202"
Ryzen 5 5600U with Radeon Graphics,"1,201"
Quadro K620,"1,198"
Ryzen 3 4300GE with Radeon Graphics,"1,198"
Ryzen 5 5625U with Radeon Graphics,"1,195"
GeForce GTX 850M,"1,191"
FirePro W4100,"1,187"
Radeon Ryzen 5 5600U,"1,182"
Radeon HD 7770,"1,178"
Radeon Ryzen 5 7430U,"1,175"
Ryzen 5 PRO 5650U with Radeon Graphics,"1,174"
Radeon Ryzen 5 5625U,"1,173"
Quadro K4000M,"1,171"
Quadro M600M,"1,170"
Radeon Vega 11 Ryzen 5 PRO 3400GE w/,"1,170"
GeForce GTX 590,"1,161"
GeForce GTX 675MX,"1,157"
Quadro M620,"1,154"
Quadro M1000M,"1,151"
Ryzen 5 PRO 7530U with Radeon Graphics,"1,149"
GRID P40-2Q,"1,148"
Ryzen 3 Pro 4350G with Radeon Graphics,"1,147"
Radeon Ryzen 3 PRO 7330U,"1,145"
Radeon Ryzen 7 PRO 5875U,"1,141"
FirePro W4300,"1,138"
Quadro K4000,"1,137"
Ryzen 5 5500U with Radeon Graphics,"1,134"
GeForce GTX 950M,"1,129"
Ryzen 3 4300G with Radeon Graphics,"1,128"
Ryzen 3 5300G with Radeon Graphics,"1,125"
GeForce GTX 460,"1,120"
Radeon Ryzen 5 5500U,"1,118"
Ryzen 5 PRO 5675U with Radeon Graphics,"1,117"
Radeon E8860,"1,115"
Radeon Ryzen Embedded V2718,"1,114"
GRID P40-3Q,"1,112"
Radeon HD 8870M / R9 M270X / M370X,"1,109"
Ryzen 3 5300GE with Radeon Graphics,"1,108"
Radeon HD 6970,"1,104"
Ryzen 7 4800H with Radeon Graphics,"1,100"
FirePro M6000,"1,098"
Radeon Ryzen 5 5560U,"1,098"
GRID P40-4Q,"1,096"
Ryzen 3 PRO 4350GE with Radeon Graphics,"1,093"
FirePro M6100 FireGL V,"1,092"
FirePro 3D V7800,"1,091"
GRID P100-8Q,"1,089"
Radeon Vega 8 Ryzen 3 3200G,"1,089"
Intel G33/G31 Express,"1,087"
Radeon HD 5870,"1,086"
GeForce GTX 470,"1,081"
Ryzen 7 4700U with Radeon Graphics,"1,078"
GRID P100-16Q,"1,076"
Quadro 6000,"1,073"
FirePro M5100 FireGL V,"1,072"
Ryzen 5 4600H with Radeon Graphics,"1,070"
MONSTER GeForce GTX 675M,"1,068"
Ryzen 7 PRO 4750U with Radeon Graphics,"1,066"
