CPU,SingleCore,MultiCore,Core,Thread,Clock,MaxTDP
Core Ultra 5 245KF,2123,26789,14,14,4.2-5.2 GHz,159 W
Core Ultra 5 245K,2110,26512,14,14,4.2-5.2 GHz,159 W
Ryzen 9 5950X,1614,26017,16,32,3.4-4.9 GHz,
Core i7 13700F,1997,25699,16,24,2.1-5.1 GHz,219 W
Core i7 13700,2008,25369,16,24,2.1-5.1 GHz,219 W
Core i5 14600K,2072,25270,14,20,3.5-5.3 GHz,181 W
Ryzen 9 7900,1959,24444,12,24,3.7-5.4 GHz,142 W
Core i5 14600KF,2063,24119,14,20,3.5-5.3 GHz,181 W
Core i5 14600,1968,23981,14,20,2.7-5.2 GHz,154 W
Core i5 13600KF,1818,23710,14,20,3.5-5.1 GHz,181 W
Core i5 13600K,1998,23396,14,20,3.5-5.1 GHz,181 W
Core i7 12700K,1935,22970,12,20,3.6-4.9 GHz,190 W
Ryzen 9 3950X,1293,22876,16,32,3.5-4.7 GHz,
Core i7 12700KF,1949,22784,12,20,3.6-4.9 GHz,190 W
Ryzen 7 7800X,1971,22564,8,16,4.5-5.4 GHz,
Core i5 13600,1948,22117,14,20,2.7-5 GHz,154 W
Core i5 14500,1937,22092,14,20,2.6-5 GHz,154 W
Core i5 13500,1876,21007,14,20,2.5-4.8 GHz,154 W
Ryzen 9 5900,1594,20955,12,24,3.0-4.7 GHz,
Core i7 12700F,1850,20658,12,20,2.1-4.8 GHz,180 W
Ryzen 9 5900X,1568,20634,12,24,3.7-4.8 GHz,
Ryzen 7 7700X,2006,19872,8,16,4.5-5.4 GHz,142 W
Core i7 12700,1883,19714,12,20,2.1-4.8 GHz,180 W
Ryzen 7 9700X,2162,19538,8,16,3.8-5.5 GHz,
Ryzen 7 7700,1930,18760,8,16,3.8-5.3 GHz,142 W
Ryzen 9 3900X,1312,18682,12,24,3.8-4.6 GHz,
Ryzen 9 3900XT,1354,18404,12,24,3.8-4.7 GHz,
Ryzen 7 7800X3D,1785,18193,8,16,4.2-5 GHz,162 W
Ryzen 7 8700G,1821,18049,8,16,4.2-5.1 GHz,
Core i5 14400,1810,17874,10,16,2.5-4.7 GHz,148 W
Core i5 12600KF,1902,17693,10,16,3.7-4.9 GHz,150 W
Ryzen 7 8700F,1788,17626,8,16,4.1-5 GHz,
Core i5 12600K,1886,17333,10,16,3.7-4.9 GHz,150 W
Core i9 10900KF,1488,17325,10,20,3.7-5.3 GHz,
Ryzen 5 9600X,2119,16297,6,12,3.9-5.4 GHz,
Core i5 14400F,1816,16252,10,16,2.5-4.7 GHz,148 W
Core i9 11900KF,1663,16211,8,16,3.5-5.3 GHz,
Core i5 13400,1786,15953,10,16,2.5-4.5 GHz,154 W
Core i5 13400F,1744,15911,10,16,2.5-4.5 GHz,148 W
Core i9 10850K,1314,15538,10,20,3.6-5.2 GHz,
Core i9 10900K,1415,15366,10,20,3.7-5.3 GHz,
Ryzen 7 5800X,1600,15344,8,16,3.8-4.7 GHz,
Ryzen 5 7600X,1951,15210,6,12,4.7-5.3 GHz,116 W
Core i9 11900K,1636,15186,8,16,3.5-5.3 GHz,
Core i7 11700K,1569,15011,8,16,3.6-5 GHz,
Core i7 11700KF,1570,15009,8,16,3.6-5 GHz,
Ryzen 7 5800X3D,1453,14804,8,16,3.4-4.5 GHz,
Ryzen 5 7600,1858,14344,6,12,3.8-5.1 GHz,88 W
Ryzen 7 5700X,1510,14077,8,16,3.4-4.6 GHz,
Ryzen 7 5800,1572,14065,8,16,3.4-4.6 GHz,
Ryzen 7 5700G,1509,14047,8,16,3.8-4.6 GHz,
Ryzen 7 3800X,1346,13848,8,16,3.9-4.5 GHz,
Ryzen 5 7500F,1819,13809,6,12,3.7-5 GHz,
Ryzen 5 8600G,1782,13628,6,12,4.3-5 GHz,
Ryzen 7 5700X3D,1356,13535,8,16,3.0-4.1 GHz,
Core i5 12600,1861,13491,6,12,3.3-4.8 GHz,117 W
Ryzen 5 7600X3D,1702,13469,6,12,4.1-4.7 GHz,
Core i9 10900,1367,13399,10,20,2.8-5.2 GHz,
Core i9 11900,1456,13315,8,16,2.5-5.2 GHz,
Ryzen 7 3800XT,1354,12955,8,16,3.9-4.7 GHz,
Core i7 10700KF,1309,12678,8,16,3.8-5.1 GHz,
Core i7 10700K,1309,12678,8,16,3.8-5.1 GHz,
Core i5 12500,1810,12528,6,12,3-4.6 GHz,117 W
Core i9 9900K,1343,12470,8,16,3.6-5 GHz,
Core i7 10700F,1255,12250,8,16,2.9-4.8 GHz,
Ryzen 7 3700X,1345,12195,8,16,3.6-4.4 GHz,
Core i5 12400F,1704,12047,6,12,2.5-4.4 GHz,117 W
Core i5 12400,1710,12023,6,12,2.5-4.4 GHz,117 W
Ryzen 5 5600X,1541,11838,6,12,3.7-4.6 GHz,
Ryzen 5 8500G,1794,11520,6,12,3.5-5 GHz,
Core i5 11600K,1559,11311,6,12,3.9-4.9 GHz,
Core i5 11600KF,1564,11277,6,12,3.9-4.9 GHz,
Ryzen 5 5600G,1493,11187,6,12,3.9-4.4 GHz,
Ryzen 9 7945HX,1951,34333,16,32,2.5-5.4 GHz,
Ryzen 9 7945HX3D,1956,33538,16,32,2.3-5.4 GHz,
Core i9 14900HX,2181,31893,24,32,2.2-5.8 GHz,157 W
Core i9 13980HX,2193,31174,24,32,2.2-5.6 GHz,157 W
M2 Ultra,1735,28924,24,24,3.5-0 GHz,
Core i9 13900HX,2088,28826,24,32,2.2-5.4 GHz,157 W
Core i9 13950HX,2076,28681,24,32,2.2-5.5 GHz,157 W
Ryzen 9 7845HX,1871,26647,12,24,3.0-5.2 GHz,
Core i7 13850HX,2033,26015,20,28,2.1-5.3 GHz,157 W
M3 Max,1950,24020,16,16,4.05-0 GHz,
M1 Ultra,1510,23841,20,20,3.2-0 GHz,
Core i7 14650HX,1922,23840,16,24,2.2-5.2 GHz,157 W
Ryzen AI 9 HX 370,2035,23786,12,24,2.0-5.1 GHz,
Core i9 12950HX,2009,23395,16,24,2.3-5 GHz,157 W
Core i9 12900HX,1912,23150,16,24,2.3-5 GHz,157 W
Core i7 14700HX,2087,22285,20,28,2.1-5.5 GHz,157 W
Ryzen AI 9 HX 375,1988,21712,12,24,2.0-5.1 GHz,
Core i7 13650HX,1868,20999,14,20,2.6-4.9 GHz,157 W
Core i9 13900HK,1958,20864,14,20,2.6-5.4 GHz,115 W
Core i7 13700HX,1839,20319,16,24,2.1-5 GHz,157 W
Core i9 13905H,2020,20034,14,20,2.6-5.4 GHz,115 W
Core i7 12800HX,1786,20012,16,24,2.0-4.8 GHz,157 W
Core i5 14500HX,1870,19191,14,20,2.6-4.9 GHz,157 W
Core i7 13800H,1890,19120,14,20,2.5-5.2 GHz,115 W
Ryzen AI 9 365,1908,19047,10,20,2.0-5 GHz,
Core i7 13705H,1874,18765,14,20,2.4-5 GHz,115 W
Core Ultra 9 185H,1809,18420,16,22,2.3-5.1 GHz,115 W
Core i9 12900HK,1940,18373,14,20,2.5-5 GHz,115 W
Core i5 13500HX,1855,18235,14,20,2.5-4.7 GHz,157 W
Ryzen 7 7745HX,1846,18060,8,16,3.6-5.1 GHz,
Core i9 13900H,1973,17856,14,20,2.6-5.4 GHz,115 W
Core i7 13700H,1871,17702,14,20,2.4-5 GHz,115 W
Ryzen 9 7940HS,1829,17497,8,16,4.0-5.2 GHz,
Ryzen 7 7840HS,1793,17088,8,16,3.8-5.1 GHz,
Ryzen 9 8945HS,1805,17079,8,16,4.0-5.2 GHz,
Core i9 12900H,1908,16587,14,20,2.5-5 GHz,115 W
Core i7 12700H,1779,16308,14,20,2.3-4.7 GHz,115 W
Ryzen 7 8845HS,1775,16232,8,16,3.8-5.1 GHz,
Ryzen 7 8840HS,1689,16203,8,16,3.3-5.1 GHz,
Core i7 12800H,1813,15798,14,20,2.4-4.8 GHz,115 W
Core Ultra 7 165H,1668,15743,16,22,1.4-5 GHz,115 W
Core i7 13620H,1805,15496,10,16,2.4-4.9 GHz,115 W
Core i5 14450HX,1801,15382,10,16,2.4-4.8 GHz,157 W
M3 Pro,1977,15106,12,12,4.05-0 GHz,
Core i5 13600H,1810,14988,12,16,2.8-4.8 GHz,95 W
Core i5 13450HX,1842,14906,10,16,2.4-4.6 GHz,157 W
Snapdragon X Elite (X1E-84-100),1794,14802,12,12,3.8-4.2 GHz,80 W
Core Ultra 7 155H,1749,14777,16,22,1.4-4.8 GHz,115 W
M2 Max,1625,14767,12,12,3.5-0 GHz,
Ryzen 7 6800H,1556,14716,8,16,3.2-4.7 GHz,
Core Ultra 9 288V,2190,14501,8,8,3.3-5.1 GHz,
Core i5 13500H,1745,14340,12,16,2.6-4.7 GHz,95 W
Core i7 12650H,1779,14230,10,16,2.3-4.7 GHz,115 W
Ryzen 9 6900HX,1565,14136,8,16,3.3-4.9 GHz,
Ryzen 9 6900HS,1552,14030,8,16,3.3-4.9 GHz,
Ryzen 5 7645HX,1809,13985,6,12,4.0-5 GHz,
Core i9 11980HK,1574,13977,8,16,2.6-3.3-5 GHz,110 W
Ryzen Z1 Extreme,1689,13955,8,16,3.3-5.1 GHz,
Core Ultra 5 135H,1740,13892,14,18,1.7-4.6 GHz,115 W
M2 Pro,1589,13876,12,12,3.5-0 GHz,
Ryzen 7 7435HS,1477,13805,8,16,3.1-4.5 GHz,
Core i5 12600H,1768,13730,12,16,2.7-4.5 GHz,95 W
Ryzen 7 7735HS,1546,13598,8,16,3.2-4.75 GHz,
Snapdragon X Elite (X1E-80-100),1712,13372,12,12,3.4-4 GHz,
Core i5 12500H,1689,13228,12,16,2.5-4.5 GHz,95 W
Core i7 1370P,1995,13159,14,20,1.9-5.2 GHz,64 W
Ryzen 5 8645HS,1730,13061,6,12,4.3-5 GHz,
Ryzen 5 8640HS,1730,13040,6,12,3.5-4.9 GHz,
Ryzen 5 7640HS,1715,13029,6,12,4.3-5 GHz,
Core Ultra 7 268V,2108,12981,8,8,2.2-5 GHz,
Ryzen 7 8840U,1765,12890,8,16,3.3-5.1 GHz,
Core Ultra 7 266V,2093,12887,8,8,2.2-5 GHz,
Ryzen 7 7840U,1754,12883,8,16,3.3-5.1 GHz,
Ryzen 9 5900HX,1486,12827,8,16,3.3-4.6 GHz,
Ryzen 7 7736U,1548,12768,8,16,2.7-4.7 GHz,
Ryzen 9 5900HS,1470,12745,8,16,3.0-4.6 GHz,
Ryzen 7 6800HS,1508,12728,8,16,3.2-4.7 GHz,
Core Ultra 5 125H,1655,12620,14,18,1.2-4.5 GHz,115 W
M1 Max,1542,12411,10,10,3.2-0 GHz,
Snapdragon X Plus (X1P-66-100),1498,12354,10,10,3.4-4 GHz,
Core i7 11850H,1517,12345,8,16,2.1-2.5-4.8 GHz,
Core Ultra 7 258V,1991,12302,8,8,2.2-4.8 GHz,
Core i7 1360P,1893,12279,12,16,2.2-5 GHz,64 W
Ryzen 7 5800H,1422,12231,8,16,3.2-4.4 GHz,
Core Ultra 7 256V,2010,12198,8,8,2.2-4.8 GHz,
Core i7 11800H,1500,12180,8,16,1.9-2.3-4.6 GHz,
Core i9 11900H,1580,12143,8,16,2.1-2.5-4.9 GHz,
Snapdragon X Elite (X1E-78-100),1530,12119,12,12,3.4-0 GHz,45 W
M1 Pro,1529,12108,10,10,3.2-0 GHz,
Ryzen 9 5980HX,1634,11974,8,16,3.3-4.8 GHz,
Core i5 13420H,1697,11870,8,12,2.1-4.6 GHz,95 W
Snapdragon X Plus (X1P-64-100),1480,11849,10,10,3.4-0 GHz,
Core Ultra 5 238V,1990,11712,8,8,2.1-4.7 GHz,
Core i7 1280P,1651,11666,14,20,1.8-4.8 GHz,64 W
Core Ultra 5 236V,1959,11599,8,8,2.1-4.7 GHz,
Snapdragon X Plus (X1P-46-100),1475,11489,8,8,3.4-4 GHz,
Ryzen 5 8640U,1780,11289,6,12,3.5-4.9 GHz,
Core Ultra 5 228V,1901,11280,8,8,2.1-4.5 GHz,
Ryzen 7 4800H,1253,11135,8,16,2.9-4.2 GHz,
Core i5 1350P,1697,11104,12,16,1.9-4.7 GHz,64 W
Core i7 11700,1441,11072,8,16,2.5-4.9 GHz,
Core i7 11700F,1538,11069,8,16,2.5-4.9 GHz,
Ryzen 5 7640U,1635,11012,6,12,3.5-4.9 GHz,
Core Ultra 5 226V,1878,11002,8,8,2.1-4.5 GHz,
Ryzen 5 8400F,1601,10972,6,12,4.2-4.7 GHz,
Ryzen 5 7535HS,1488,10900,6,12,3.3-4.55 GHz,
Snapdragon X Plus (X1P-42-100),1486,10802,8,8,3.2-3.4 GHz,
Ryzen 7 7730U,1448,10801,8,16,2.0-4.5 GHz,
Ryzen 5 5600,1504,10662,6,12,3.5-4.4 GHz,
Core i5 1340P,1701,10660,12,16,1.9-4.6 GHz,64 W
Core i9 10980HK,1287,10590,8,16,2.4-5.3 GHz,
Ryzen 5 8540U,1801,10492,6,12,3.2-4.9 GHz,
Core i5 10600KF,1391,10489,6,12,4.1-4.8 GHz,
Core i5 10600K,1391,10489,6,12,4.1-4.8 GHz,
Ryzen 7 5800HS,1339,10472,8,16,2.8-4.4 GHz,
Ryzen 7 6800U​,1488,10468,8,16,2.7-4.7 GHz,
Apple M3,1904,10454,8,8,4.05-0 GHz,
Ryzen 5 5500,1358,10412,6,12,3.6-4.2 GHz,
Core i5 11400F,1339,10235,6,12,2.6-4.4 GHz,
Ryzen 7 5600X3D,1402,10232,6,12,3.3-4.4 GHz,
Ryzen 5 6600H,1458,10226,6,12,3.3-4.5 GHz,
Ryzen 7 2700X,1102,10140,8,16,3.7-4.3 GHz,
Core Ultra 7 165U,1704,10110,12,14,1.7-4.9 GHz,
Ryzen 7 7735U,1490,10085,8,16,2.7-4.75 GHz,
Ryzen 7 Pro 6850U,1493,10032,8,16,2.7-4.7 GHz,
Core i5 12450H,1587,9947,8,12,2-4.4 GHz,95 W
Ryzen 5 7540U,1789,9892,6,12,3.2-4.9 GHz,
Core i7 10870H,1224,9892,8,16,2.2-5 GHz,
Ryzen Z1,1796,9890,6,12,3.2-4.9 GHz,
Ryzen 5 6600U,1493,9828,6,12,2.9-4.5 GHz,
Ryzen 7 5825U,1417,9772,8,16,2.0-4.5 GHz,
Ryzen 5 7535U,1498,9771,6,12,2.9-4.55 GHz,
Ryzen 7 4800U,1235,9762,8,16,1.8-4.2 GHz,
Core i7 1260P,1737,9743,12,16,2.1-4.7 GHz,64 W
Core i7 1270P,1620,9718,12,16,2.2-4.8 GHz,64 W
Ryzen 5 5600H,1367,9699,6,12,3.3-4.2 GHz,
Ryzen 5 3600XT,1321,9696,6,12,3.8-4.5 GHz,
Ryzen 3 8300G,1601,9689,4,8,3.4-4.9 GHz,
Core i5 11400,1343,9623,6,12,2.6-4.4 GHz,
Core 7 150U,1890,9581,10,12,1.8-5.4 GHz,55 W
Core Ultra 7 155U,1730,9572,12,14,1.7-4.8 GHz,
Core Ultra 5 125U,1714,9553,12,14,1.3-4.3 GHz,
Core i5 11500H,1492,9532,6,12,2.4-2.9-4.6 GHz,
Ryzen 5 3600X,1323,9526,6,12,3.8-4.4 GHz,
Ryzen 5 3600,1298,9501,6,12,3.6-4.2 GHz,
Core i9 10885H,1289,9438,8,16,2.4-5.3 GHz,
Core i7 9700K,1285,9428,8,8,3.6-4.9 GHz,
Ryzen 5 4600G,1221,9348,6,12,3.7-4.2 GHz,
Core i7 1365U,1883,9343,10,12,1.8-5.2 GHz,55 W
Core i5 11400H,1466,9315,6,12,2.2-2.7-4.5 GHz,
Core i5 1240P,1510,9291,12,16,1.7-4.4 GHz,64 W
Core i5 1250P,1521,9282,12,16,1.7-4.4 GHz,64 W
Core i7 1355U,1799,9273,10,12,1.7-5 GHz,55 W
Ryzen 5 Pro 4650G,1262,9258,6,12,3.7-4.2 GHz,
Core i3 14100,1789,9112,4,8,3.5-4.7 GHz,110 W
Core 5 120U,1879,9098,10,12,1.4-5 GHz,55 W
Ryzen 3 8440U,1610,9089,4,8,3.0-4.7 GHz,
Ryzen 7 5700U,1260,9042,8,16,1.8-4.3 GHz,
Ryzen 3 7440U,1599,8992,4,8,3.0-4.7 GHz,
Core i5 11260H,1394,8990,6,12,2.1-2.6-4.4 GHz,
Ryzen 7 2700,1057,8947,8,16,3.2-4.1 GHz,
Core i5 1335U,1684,8915,10,12,1.3-4.6 GHz,55 W
Core i7 10875H,1241,8889,8,16,2.3-5.1 GHz,
Ryzen 5 Pro 6650U,1463,8854,6,12,2.9-4.5 GHz,
Core i7 8700K,1210,8839,6,12,3.7-4.7 GHz,
Core i3 13100F,1715,8805,4,8,3.4-4.5 GHz,89 W
Core i3 14100F,1740,8794,4,8,3.5-4.7 GHz,110 W
Core i9 9880H,1140,8752,8,16,2.3-4.8 GHz,
Apple M2,1581,8667,8,8,3.5-0 GHz,
Core Ultra 5 135U,1677,8659,12,14,1.6-4.4 GHz,
Ryzen 7 Pro 5850U,1403,8656,8,16,1.9-4.4 GHz,
Core i3 13100,1680,8636,4,8,3.4-4.5 GHz,89 W
Core i7 9700,1193,8540,8,8,3.0-4.7 GHz,
Core i7 10700,1234,8532,8,16,2.9-4.8 GHz,
Ryzen 3 5300G,1280,8452,4,8,4.0-4.2 GHz,
Core i3 12100F,1624,8447,4,8,3.3-4.3 GHz,89 W
Ryzen 5 7530U,1443,8418,6,12,2.0-4.5 GHz,
Core i9 9980HK,1186,8370,8,16,2.4-5 GHz,
Core i7 1255U,1656,8285,10,12,1.7-4.7 GHz,55 W
Core i5 10500,1082,8209,6,12,3.1-4.5 GHz,
Ryzen 5 7430U,1421,8198,6,12,2.3-4.3 GHz,
Core i5 1345U,1773,8198,10,12,1.6-4.7 GHz,55 W
Ryzen 7 5800U,1425,8154,8,16,1.9-4.4 GHz,
Ryzen 5 5625U,1372,8135,6,12,2.3-4.3 GHz,
Core i7 1265U,1738,8108,10,12,1.8-4.8 GHz,55 W
Core i3 12100,1673,8061,4,8,3.3-4.3 GHz,89 W
Ryzen 5 4600H,1148,7935,6,12,3.0-4 GHz,
Apple M1,1514,7800,8,8,3.2-0 GHz,
Core i5 10400,1132,7614,6,12,2.9-4.3 GHz,
Core i5 10400F,1110,7610,6,12,2.9-4.3 GHz,
Ryzen 5 5600U,1372,7582,6,12,2.3-4.2 GHz,
Ryzen 5 2600X,1094,7523,6,12,3.6-4.2 GHz,
Core i7 10850H,1196,7455,6,12,2.7-5.1 GHz,
Core i3 1220P,1525,7453,10,12,1.5-4.4 GHz,64 W
Core i5 10500T,1072,7428,6,12,2.3-3.8 GHz,
Core i7 1250U,1567,7402,10,12,1.1-4.7 GHz,29 W
Core i5 1245U,1630,7378,10,12,1.6-4.4 GHz,55 W
Ryzen 7 4700U,1220,7378,8,8,2.0-4.1 GHz,
Core i7 10750H,1174,7314,6,12,2.6-5 GHz,
Ryzen 5 Pro 5650U,1363,7140,6,12,2.3-4.2 GHz,
Core i7 8700,1222,7125,6,12,3.2-4.6 GHz,
Ryzen 5 5500U,1172,7092,6,12,2.1-4 GHz,
Ryzen 5 2600,1012,7089,6,12,3.4-3.9 GHz,
Core i9 8950HK,1196,6961,6,12,2.9-4.8 GHz,
Core i7 9850H,1188,6961,6,12,2.6-4.6 GHz,
Core i7 9750H,1113,6912,6,12,2.6-4.5 GHz,
Core i5 8600K,1245,6775,6,6,3.6-4.3 GHz,
Core i5 1235U,1640,6601,10,12,1.3-4.4 GHz,55 W
Core i5 9600K,1187,6596,6,6,3.7-4.6 GHz,
Core 3 100U,1750,6502,6,8,1.2-4.7 GHz,55 W
Core i7 11390H,1602,6379,4,8,2.9-3.4-5 GHz,
Core i7 8750H,1091,6350,6,12,2.2-4.1 GHz,
Ryzen 5 1600,900,6230,6,12,3.2-3.6 GHz,
Core i3 1315U,1649,6190,6,8,1.2-4.5 GHz,55 W
Core i7 1165G7,1504,6070,4,8,1.2-2.8-4.7 GHz,
Core i5 9500,1138,5993,6,6,3.0-4.4 GHz,
Core i5 11320H,1456,5980,4,8,2.5-3.2-4.5 GHz,
Core i7 1195G7,1513,5950,4,8,1.3-2.9-5 GHz,
Ryzen 5 4500U,1151,5920,6,6,2.3-4 GHz,
Core i7 7700K,1216,5902,4,8,4.2-4.5 GHz,
Core i5 8400,1028,5852,6,6,2.8-4 GHz,
Core i5 1230U,1411,5833,10,12,1-4.4 GHz,29 W
Core i3 1215U,1581,5802,6,8,1.2-4.4 GHz,55 W
Core i3 10105F,1168,5737,4,8,3.7-4.4 GHz,
Core i7 1185G7,1458,5719,4,8,1.2-3.0-4.8 GHz,
Core i7 11370H,1518,5712,4,8,3.0-3.3-4.8 GHz,
Core i7 6700K,1130,5644,4,8,4.0-4.2 GHz,
Core i3 10100F,1141,5612,4,8,3.6-4.3 GHz,
Core i3 10100,1141,5612,4,8,3.6-4.3 GHz,
Core i5 9400F,1020,5581,6,6,2.9-4.1 GHz,
Core i5 8500,1052,5539,6,6,3.0-4.1 GHz,
Core i7 7700,1089,5439,4,8,3.6-4.2 GHz,
Ryzen 3 3100,1105,5423,4,8,3.6-3.9 GHz,
Core i5 11300H,1394,5349,4,8,2.6-3.1-4.4 GHz,
Ryzen 5 7520U,1171,5149,4,8,2.8-4.3 GHz,
Core i3 1125G4,1150,5112,4,8,0.9-2.0-3.7 GHz,
Ryzen 3 7330U,1390,5089,4,8,2.3-4.3 GHz,
Core i5 1135G7,1344,5048,4,8,0.9-2.4-4.2 GHz,
Core i7 8850H,976,5023,6,12,2.6-4.3 GHz,
Core i5 10300H,1121,4863,4,8,2.5-4.5 GHz,
Core i7 6700,1063,4840,4,8,3.4-4 GHz,
Ryzen 5 3400G,1068,4810,4,8,3.7-4.2 GHz,
Ryzen 5 2400G,1021,4800,4,8,3.6-3.9 GHz,
Core i5 1145G7,1388,4769,4,8,1.1-2.6-4.4 GHz,
Core i7 10810U,1155,4754,6,12,0.8-1.6-4.9 GHz,
Core i5 9300H,1126,4742,4,8,2.4-4.1 GHz,
Ryzen 3 5300U,1119,4637,4,8,2.6-3.8 GHz,
Core i7 1068NG7,1234,4566,4,8,2.3-4.1 GHz,
Core i7 1065G7,1153,4475,4,8,1.3-3.9 GHz,
Ryzen 3 7320U,1115,4445,4,8,2.4-4.1 GHz,
Core i5 8300H,1077,4435,4,8,2.3-4 GHz,
Core i3 N305,1018,4411,8,8,0-0 GHz,
Core i3 1305U,1598,4401,5,6,1.6-4.5 GHz,55 W
Core i7 10510U,1207,4239,4,8,1.8-4.9 GHz,
Core i5 1035G1,1078,4225,4,8,1.0-3.6 GHz,
Core i5 1155G7,1421,4201,4,8,1.0-2.5-4.5 GHz,
Core i3 9100F,1057,4155,4,4,3.6-4.2 GHz,
Ryzen 5 3550H,936,4110,4,8,2.1-3.7 GHz,
Processor U300,1570,4087,5,6,1.2-4.4 GHz,55 W
Ryzen 7 3750H,904,4081,4,8,2.3-4 GHz,
Core i7 10610U,1207,4048,4,8,0.8-2.3-4.9 GHz,
Processor 300,1470,3988,2,4,3.9-0 GHz,
Core i5 6600K,1041,3965,4,4,3.5-3.9 GHz,
Ryzen 7 3700U,928,3807,4,8,2.3-4 GHz,
Core i7 8665U,1256,3771,4,8,1.9-4.8 GHz,
Core i7 8650U,907,3689,4,8,1.9-4.2 GHz,
Core i5 8365U,1158,3676,4,8,1.6-4.1 GHz,
Core i3 8100,936,3607,4,4,3.6-0 GHz,
Ryzen 3 2200G,942,3587,4,4,3.5-3.7 GHz,
Core i7 1180G7,1280,3434,4,8,0.9-2.2-4.2 GHz,
Core i5 7400,928,3380,4,4,3.0-3.5 GHz,
Core i5 6500,966,3361,4,4,3.2-3.6 GHz,
Ryzen 3 3200G,945,3317,4,4,3.6-4 GHz,
Core i5 1130G7,1226,3240,4,8,0.8-1.8-4 GHz,
Core i5 1035G7,1155,3238,4,8,1.2-3.7 GHz,
Core i7 1160G7,1172,3233,4,8,0.9-2.1-4.4 GHz,
Core i3 1115G4,1327,3143,2,4,1.7-3.0-4.1 GHz,
Core i7 8550U,979,3111,4,8,1.8-4 GHz,
Core i5 10310U,1051,3094,4,8,0.8-2.2-4.4 GHz,
Core i5 8250U,900,3091,4,8,1.6-3.4 GHz,
Core i7 8565U,1085,3075,4,8,1.8-4.6 GHz,
Processor N200,930,3010,4,4,0-0 GHz,
Processor N97,973,3003,4,4,0-0 GHz,
Processor N100,930,2949,4,4,0-0 GHz,
Core i5 10210U,880,2900,4,8,1.6-4.2 GHz,
Processor N95,914,2769,4,4,0-0 GHz,
Ryzen 5 3500U,765,2760,4,8,2.1-3.7 GHz,
Core i5 8265U,828,2622,4,8,1.6-3.9 GHz,
Core i3 N300,513,2546,8,8,0-0 GHz,
Core i5 8350U,802,2486,4,8,1.7-3.6 GHz,
Core i3 1005G1,1101,2460,2,4,1.2-3.4 GHz,
Pentium Silver N6005,796,2429,4,4,2.0-0 GHz,
Core i3 10110U,1034,2374,2,4,2.1-4.1 GHz,
Celeron N5095,615,2176,4,4,2.0-0 GHz,
Core i5 7200U,799,2050,2,4,2.5-3.1 GHz,
Pentium Silver N6000,755,2032,4,4,1.1-0 GHz,
Ryzen 3 3250U,836,1972,2,4,2.6-3.5 GHz,
Celeron N5100,690,1796,4,4,1.1-0 GHz,
Ryzen 3 3200U,765,1786,2,4,2.6-3.5 GHz,
Celeron N4500,452,709,2,2,1.1-0 GHz,
